major,minor,Frame 0,Frame 1,Frame 2,Frame 3,Frame 4,Frame 5,Frame 6,Frame 7,Frame 8,Frame 9,Frame 10,Frame 11,Frame 12,Frame 13,Frame 14,Frame 15,Frame 16,Frame 17,Frame 18,Frame 19,Frame 20,Frame 21,Frame 22,Frame 23,Frame 24,Frame 25,Frame 26,Frame 27,Frame 28,Frame 29,Frame 30,Frame 31,Frame 32,Frame 33,Frame 34,Frame 35,Frame 36,Frame 37,Frame 38,Frame 39,Frame 40,Frame 41,Frame 42,Frame 43,Frame 44,Frame 45,Frame 46,Frame 47,Frame 48,Frame 49,Frame 50,Frame 51,Frame 52,Frame 53,Frame 54,Frame 55,Frame 56,Frame 57,Frame 58,Frame 59,Frame 60,Frame 61,Frame 62,Frame 63,Frame 64,Frame 65,Frame 66,Frame 67,Frame 68,Frame 69,Frame 70,Frame 71,Frame 72,Frame 73,Frame 74,Frame 75,Frame 76,Frame 77,Frame 78,Frame 79,Frame 80,Frame 81
Landmark 0,x,257,256,256,255,256,256,257,254,253,253,253,253,255,253,254,255,254,253,251,253,252,251,251,255,256,256,257,256,251,252,252,251,257,254,256,254,253,252,251,254,254,252,253,253,253,252,251,252,247,251,250,251,251,250,247,249,245,250,249,248,246,246,245,247,245,246,244,247,245,246,248,248,245,246,246,245,245,247,248,247,248,250
Landmark 0,y,286,285,285,286,286,287,289,288,289,287,286,284,285,284,287,283,282,283,282,283,282,282,281,285,284,285,284,281,282,279,281,282,284,283,283,281,282,280,281,283,281,282,281,284,285,284,286,285,280,283,282,282,283,281,280,282,282,284,281,284,284,283,283,283,283,283,284,283,284,283,285,285,283,285,285,282,283,284,284,286,284,286
Landmark 1,x,261,261,261,261,262,261,262,260,259,259,259,259,261,259,260,261,259,259,258,258,258,257,256,260,260,260,260,260,258,258,257,257,261,259,260,260,259,257,257,259,258,258,257,257,258,257,256,256,252,255,255,255,255,253,252,254,251,254,253,253,250,251,250,251,250,251,250,251,250,250,252,252,249,250,250,250,250,252,253,253,253,255
Landmark 1,y,320,319,319,320,320,322,322,322,322,320,318,318,318,318,320,317,316,317,316,316,316,315,314,318,318,317,316,314,316,314,315,316,316,317,316,314,316,314,315,316,315,316,316,317,319,318,320,318,314,317,316,316,318,314,315,316,316,317,314,317,317,316,316,317,316,316,318,317,318,316,319,320,317,319,319,317,317,318,318,319,317,319
Landmark 2,x,268,267,267,267,267,268,267,267,266,266,266,266,267,266,267,266,266,265,265,265,265,264,263,266,265,265,265,265,265,264,263,264,265,265,265,266,265,264,263,264,263,263,263,262,262,262,261,261,259,261,260,259,260,258,259,259,257,258,258,258,256,256,256,256,257,257,256,257,257,256,257,257,256,256,256,256,256,257,258,259,260,261
Landmark 2,y,353,352,352,354,353,356,356,357,355,354,352,351,352,351,353,351,350,350,350,349,351,349,349,352,352,351,350,348,349,349,348,349,350,350,350,348,351,348,349,350,350,350,351,351,353,352,354,352,349,350,351,351,352,347,349,349,349,351,348,351,349,349,349,350,349,349,351,351,352,350,352,353,350,352,352,350,351,351,352,352,350,353
Landmark 3,x,274,274,273,274,273,275,275,275,274,273,273,273,274,273,273,272,273,273,272,272,273,272,271,273,272,272,272,272,272,272,271,271,271,272,272,272,272,271,270,271,270,270,269,269,268,269,268,268,267,267,267,266,266,265,265,265,264,265,264,264,263,263,263,263,264,263,263,264,264,264,264,263,263,263,263,263,263,264,265,266,267,268
Landmark 3,y,386,385,385,386,385,389,388,390,387,387,384,385,385,384,386,384,383,383,383,381,384,384,383,385,386,384,384,382,383,383,382,383,383,383,382,380,383,382,383,385,384,383,386,386,387,386,388,386,382,384,385,385,386,381,382,382,382,384,382,385,382,382,382,383,382,382,385,384,386,383,386,386,383,385,385,384,385,384,385,385,383,386
Landmark 4,x,285,284,283,285,283,285,285,286,286,284,283,284,285,284,284,284,284,284,284,282,285,284,283,285,284,283,283,282,284,284,282,283,283,283,284,284,284,283,282,282,281,282,281,280,280,280,280,279,278,278,278,277,278,276,277,277,275,276,275,276,274,274,274,274,274,274,274,275,275,275,274,274,273,274,274,274,274,275,276,277,278,279
Landmark 4,y,417,417,416,418,417,420,419,421,418,418,416,417,416,416,418,415,414,415,414,413,416,416,414,416,418,415,415,414,414,414,413,415,414,414,413,411,414,413,415,416,415,414,417,417,418,417,419,418,414,416,416,417,416,413,415,414,413,416,414,417,414,414,415,415,414,414,417,416,418,414,417,417,414,417,417,415,416,415,416,415,414,417
Landmark 5,x,302,302,300,302,300,303,303,304,304,302,300,302,303,302,302,302,302,303,302,301,304,303,302,305,304,302,302,300,302,302,300,302,301,302,303,302,302,302,301,301,300,300,299,299,298,298,299,297,297,296,296,295,296,293,295,295,293,294,293,294,293,292,293,292,294,292,293,292,294,292,292,292,291,291,292,291,292,292,294,295,296,297
Landmark 5,y,443,443,443,444,443,446,445,447,445,445,443,444,443,443,444,443,442,441,442,441,444,443,442,444,445,443,443,442,441,441,441,442,440,440,439,438,440,440,442,443,442,441,444,445,446,444,446,445,443,444,444,444,443,441,442,443,441,443,442,444,443,442,443,443,443,443,445,444,447,443,446,446,443,444,445,443,444,443,444,443,442,444
Landmark 6,x,326,326,323,325,324,327,327,327,328,325,322,325,324,324,325,326,326,327,327,325,328,327,327,328,328,326,325,323,325,324,323,325,324,325,327,325,326,327,325,324,323,323,323,323,322,322,323,321,320,320,318,317,318,316,318,317,316,317,316,318,318,316,317,316,318,316,317,316,318,315,316,316,315,316,315,315,315,316,317,318,319,321
Landmark 6,y,464,464,465,466,465,467,465,468,466,467,466,467,466,467,466,466,465,465,465,464,466,466,466,467,468,465,466,466,464,465,464,463,461,462,461,460,460,462,463,465,464,464,468,468,468,467,467,468,467,468,467,466,466,465,466,467,465,466,466,467,467,466,466,467,466,466,468,468,470,468,469,468,466,467,467,466,467,465,466,465,465,465
Landmark 7,x,355,354,351,354,353,355,356,356,356,354,350,353,352,352,353,353,354,355,355,353,357,355,355,356,355,354,353,351,352,352,351,353,352,353,354,353,353,355,351,351,350,351,352,351,350,350,351,348,348,348,345,345,345,344,345,345,343,344,343,346,346,343,344,343,346,344,345,343,345,344,344,343,343,344,343,343,344,344,345,346,347,348
Landmark 7,y,478,478,480,482,480,482,481,483,481,482,484,485,484,485,484,484,483,482,484,482,482,483,483,484,483,481,482,483,483,483,482,479,478,479,477,477,477,478,479,481,480,481,484,485,484,483,483,485,485,484,483,483,484,483,484,484,483,483,484,485,484,484,484,486,485,484,485,485,487,485,485,485,483,483,485,483,483,482,482,482,482,481
Landmark 8,x,387,387,385,386,386,388,389,388,389,386,382,384,383,384,384,384,386,388,387,385,388,388,387,387,387,386,384,383,382,382,383,385,384,385,387,384,385,386,383,383,382,382,384,382,382,382,384,380,380,381,376,377,376,376,377,377,375,375,374,378,378,375,376,375,378,377,377,375,377,376,376,375,375,376,375,375,377,376,377,377,379,381
Landmark 8,y,481,481,484,485,483,484,483,484,483,485,488,488,488,489,488,488,487,485,487,485,485,486,486,486,485,483,485,486,487,487,486,482,482,482,481,480,480,481,483,484,484,484,487,487,487,486,486,488,488,487,486,486,487,486,487,487,487,486,488,488,488,489,489,491,488,488,489,489,490,489,489,489,488,488,488,487,487,486,485,485,485,484
Landmark 9,x,418,418,417,417,418,419,420,419,419,416,414,414,414,414,415,415,417,418,417,415,416,417,416,416,417,416,416,414,412,412,413,415,415,416,419,415,416,416,413,414,413,412,414,413,412,412,414,411,411,412,406,408,406,408,408,407,406,406,405,409,408,406,407,406,409,409,408,407,408,408,408,407,407,408,407,406,408,407,408,408,409,412
Landmark 9,y,474,474,477,477,476,477,475,476,475,477,480,480,481,482,480,481,478,477,478,478,476,477,477,477,477,475,476,477,479,480,478,474,474,474,472,473,473,473,476,477,477,477,479,479,479,478,477,480,480,479,479,479,480,478,479,479,480,479,480,480,480,482,481,483,480,481,482,483,482,482,481,482,480,480,481,479,478,479,479,479,478,476
Landmark 10,x,440,440,440,439,440,441,442,441,441,438,438,437,437,437,438,437,439,440,439,438,437,438,438,438,439,438,439,437,434,434,435,436,437,438,441,437,438,437,435,435,436,435,437,435,435,435,437,433,433,434,429,431,429,431,431,430,430,429,428,432,430,429,430,429,431,432,430,430,432,431,432,430,431,431,430,430,431,430,430,431,432,434
Landmark 10,y,456,454,458,456,457,457,454,456,455,457,459,459,459,461,459,460,456,455,456,456,455,455,455,455,455,454,454,456,458,458,456,454,453,454,451,452,452,453,456,457,456,455,458,458,458,458,456,460,458,457,458,457,459,456,457,458,459,459,459,458,458,459,458,461,457,459,461,461,460,460,460,461,458,458,459,459,457,458,458,458,456,455
Landmark 11,x,459,459,458,457,459,460,460,459,459,458,457,456,456,455,457,456,457,458,458,457,456,456,457,456,458,457,458,456,453,453,454,455,455,457,459,456,457,457,455,454,455,455,456,455,455,455,456,453,453,453,449,450,449,451,450,450,450,449,448,451,449,449,449,449,450,451,449,449,451,451,452,450,451,450,449,450,450,449,450,450,451,453
Landmark 11,y,432,430,433,432,433,433,430,432,430,433,433,433,434,436,433,434,430,429,429,430,429,429,429,430,430,430,428,431,433,433,431,430,429,429,425,427,428,429,432,432,432,430,433,433,434,434,431,436,433,432,433,432,435,431,432,433,434,435,434,432,432,432,432,435,430,433,435,435,435,434,434,436,433,433,434,434,432,433,433,433,431,431
Landmark 12,x,471,471,471,470,471,472,472,472,471,472,471,470,470,469,471,469,471,472,471,471,470,469,471,469,470,470,471,469,467,467,468,468,469,470,471,469,470,470,470,468,469,468,469,468,468,469,469,467,467,466,463,464,463,464,464,463,463,463,463,464,463,463,463,464,463,464,463,463,464,464,465,464,465,464,463,464,464,464,464,464,465,466
Landmark 12,y,404,401,404,402,404,404,401,403,400,404,403,403,405,406,403,404,401,399,400,400,400,400,398,400,400,400,398,401,404,404,402,401,401,400,396,399,399,400,403,404,402,401,402,404,404,404,402,407,404,402,404,404,407,401,403,403,404,405,405,403,403,401,402,405,400,402,404,405,405,404,403,406,402,403,404,404,403,404,403,403,401,402
Landmark 13,x,477,477,477,476,476,477,478,478,477,478,477,476,477,476,477,477,477,477,477,477,476,476,477,475,476,476,477,475,475,475,476,475,476,477,478,476,477,478,477,476,476,475,476,475,475,475,475,474,474,473,470,472,472,471,470,470,469,470,470,471,469,470,469,471,470,470,469,470,471,470,471,471,471,470,470,470,470,470,471,471,472,472
Landmark 13,y,372,369,372,371,372,371,369,371,368,371,371,371,372,374,370,371,369,366,366,367,368,367,365,368,368,368,365,368,371,371,369,369,368,368,364,366,367,367,371,371,369,369,370,372,372,371,369,374,371,370,372,373,375,368,370,370,370,372,372,371,370,368,369,371,367,369,370,372,371,370,369,372,368,370,371,371,370,372,370,371,368,369
Landmark 14,x,481,480,480,480,480,480,480,481,480,481,480,480,480,480,480,480,480,480,480,480,480,480,480,479,479,479,480,478,478,479,479,479,479,480,480,479,480,481,481,479,480,478,479,478,478,478,477,477,477,477,475,476,475,476,474,474,474,474,474,474,474,474,474,475,474,474,473,474,474,475,474,474,475,473,474,474,474,474,475,475,476,476
Landmark 14,y,339,337,339,337,339,338,336,338,336,337,337,338,338,340,336,337,336,332,333,333,335,334,331,335,335,335,332,335,336,336,334,335,335,334,331,333,334,333,337,338,336,335,336,338,338,336,336,339,338,336,338,339,340,335,337,336,337,339,338,338,337,334,337,338,334,336,337,338,337,337,336,338,335,337,337,338,336,338,337,337,335,336
Landmark 15,x,484,482,483,482,482,482,482,483,482,482,482,482,482,482,482,482,483,482,482,482,482,482,482,481,481,481,481,481,480,481,482,481,481,481,482,481,482,482,483,481,482,481,481,480,479,479,478,479,479,479,478,478,478,478,477,477,476,477,477,476,476,476,476,477,476,476,475,476,476,477,476,476,478,475,476,476,476,476,477,478,478,478
Landmark 15,y,305,304,305,303,304,304,302,304,302,303,302,303,304,305,302,301,302,298,299,299,301,300,297,301,302,301,298,301,301,301,299,301,302,300,298,298,300,299,302,304,301,301,302,304,304,302,302,305,304,302,303,304,306,301,302,302,303,304,303,304,303,300,303,303,300,302,303,303,302,302,302,303,300,303,303,303,302,304,302,303,300,302
Landmark 16,x,483,481,483,483,483,483,481,482,481,482,482,481,482,482,482,483,484,482,482,482,481,481,482,481,481,480,480,481,480,480,481,481,481,481,482,482,482,482,483,482,483,482,481,480,479,479,478,479,478,479,478,478,478,479,478,477,477,478,477,476,477,476,477,477,476,476,475,476,476,478,476,476,478,476,476,476,476,476,478,479,478,478
Landmark 16,y,272,271,272,270,270,271,270,271,270,270,269,270,271,272,269,268,269,265,266,266,268,268,264,268,269,269,266,268,267,266,265,268,269,268,265,265,267,265,268,270,268,268,269,271,272,268,270,272,271,269,270,272,273,267,269,267,269,271,268,270,270,266,270,270,267,269,269,269,269,268,269,269,266,270,269,269,268,270,268,269,267,269
Landmark 17,x,276,276,277,276,276,277,276,277,277,276,276,276,276,276,276,277,275,276,275,276,275,274,274,274,275,274,275,274,273,273,273,274,275,275,276,276,276,276,276,275,276,276,275,274,273,272,272,273,272,271,270,271,270,270,269,269,269,270,268,269,268,267,267,268,268,268,268,268,267,266,267,267,266,266,265,266,266,267,269,268,270,271
Landmark 17,y,279,279,278,278,278,277,277,277,277,276,274,275,274,273,274,272,273,271,272,270,271,269,269,269,267,267,266,266,266,266,267,265,266,267,265,267,266,265,266,266,266,268,269,267,269,268,267,267,266,268,268,266,267,267,268,268,267,268,269,268,267,268,268,268,269,270,269,270,271,270,269,271,271,271,270,270,270,270,269,270,270,271
Landmark 18,x,290,289,290,290,289,291,289,289,290,289,288,288,289,289,288,289,288,288,287,288,287,287,286,287,288,286,288,286,285,285,284,286,286,286,287,288,288,288,287,288,289,288,287,287,286,285,285,286,285,283,282,283,283,282,282,281,282,282,280,281,281,280,280,281,281,281,281,281,280,280,281,279,279,278,278,278,279,280,282,281,282,283
Landmark 18,y,264,264,264,265,264,264,263,263,263,262,261,261,260,260,260,259,259,258,258,257,257,256,256,255,254,252,252,251,252,252,253,252,251,251,251,251,251,251,252,251,252,254,254,253,253,253,253,253,253,253,253,253,253,253,254,254,254,254,254,254,255,255,255,255,256,256,256,257,257,257,256,256,256,256,256,257,257,257,257,256,257,256
Landmark 19,x,311,311,311,311,311,311,310,310,311,310,309,310,310,310,309,310,309,309,308,309,308,308,307,308,309,307,308,307,306,306,305,306,307,307,307,308,309,308,308,308,309,309,308,307,307,306,306,307,306,304,303,304,304,303,303,301,303,302,301,301,301,300,301,302,301,302,302,302,301,301,301,299,300,298,299,299,299,301,302,302,302,303
Landmark 19,y,260,261,261,261,260,261,260,260,259,259,258,257,256,257,256,255,255,255,254,254,253,252,252,250,251,249,248,248,248,249,248,248,247,247,247,247,247,247,248,248,249,250,251,251,250,250,250,249,249,249,249,249,250,250,251,252,251,251,251,251,251,252,252,252,252,253,253,253,253,253,253,253,253,252,253,253,253,254,254,254,254,254
